Province_S,Province_L,feature_id,ValueOpenDaface,NationalOpenDeface
XYB,﻿Xaignabouli,0,0,29.7
ATP,﻿Attapeu,1,15,29.7
BK ,﻿Bokeo,2,37.5,29.7
BKX,﻿Bolikhamsai,3,10,29.7
CPS,﻿Champasak,4,30,29.7
HPH,﻿Houaphan,5,2.5,29.7
KHM,﻿Khammouane,6,17.5,29.7
LNT,﻿Luang Namtha,7,35,29.7
LPB,﻿Luang Prabang,8,22.5,29.7
ODX,﻿Oudomxay,9,20,29.7
PHO,﻿Phongsaly,10,42.5,29.7
SLV,﻿Salavan,11,25,29.7
SVK,﻿Savannakhet,12,100,29.7
VTE,﻿Vientiane Capital,13,40,29.7
VTP,﻿Vientiane,14,15,29.7
XSB,﻿Xaisomboun,15,25,29.7
SK,﻿Xekong,16,42.5,29.7
XK,﻿Xiangkhouang,17,55,29.7