province,cropAndLivestock,business,salaryAndSkilledWageLabour,unskilledWageLabour,other
ATP,37.5,7.5,30,22.5,2.5
BK,70,5,5,7.5,12.5
BKX,32.5,5,27.5,30,5
CPS,12.5,12.5,12.5,57.5,5
HPH,75,5,7.5,0,12.5
KHM,57.5,10,12.5,17.5,2.5
LNT,65,5,17.5,12.5,0
LPB,42.5,7.5,32.5,15,2.5
ODX,12.5,22.5,37.5,10,17.5
PHO,95,2.5,0,2.5,0
SLV,27.5,15,5,35,17.5
SVK,30,42.5,5,17.5,5
XSB,37.5,2.5,52.5,5,2.5
VTP,30,22.5,22.5,17.5,7.5
VTE,30,30,32.5,7.5,0
XYB,22.5,10,32.5,30,5
SK,20,10,30,7.5,32.5
XK,65,12.5,10,10,2.5