Province_S,Province_L,feature_id,ValueWomenStatus,NationalValueWomenStatus
VTE,﻿Vientiane Capital,13,96.7,80.5
PHO,﻿Phongsaly,10,72.9,80.5
LNT,﻿Luang Namtha,7,81.1,80.5
ODX,﻿Oudomxay,9,85.7,80.5
BK ,﻿Bokeo,2,79,80.5
LPB,﻿Luang Prabang,8,87,80.5
HPH,﻿Houaphan,5,89.4,80.5
XYB,﻿Xaignabouli,0,86.4,80.5
XK,﻿Xiangkhouang,17,94.4,80.5
VTP,﻿Vientiane,14,91.7,80.5
BKX,﻿Bolikhamsai,3,86.2,80.5
KHM,﻿Khammouane,6,75.7,80.5
SVK,﻿Savannakhet,12,67.7,80.5
SLV,﻿Salavan,11,62.7,80.5
SK,﻿Xekong,16,84.6,80.5
CPS,﻿Champasak,4,67.4,80.5
ATP,﻿Attapeu,1,73.7,80.5
XSB,﻿Xaisomboun,15,91.6,80.5